entropy,length,byte_std_dev,byte_skewness,label
0.10370276646531436,56,0.4990224819584785,2.2470401033055367,1
0.10370276646531436,56,0.46666201634587745,2.0269660666956812,1
0.03125,256,1.0495534764841665,1.0338743163556119,2
0.10370276646531436,56,0.4408354993645589,1.763297469744353,1
0.09375,64,0.5077524002897476,1.9247033134950204,1
0.13304820237218407,40,0.4038389994787527,2.577248394823275,1
0.03125,256,1.0716517624676405,1.199750078097883,2
0.09375,64,0.4921254921257382,2.015614918841733,1
0.09375,64,0.5153882032022076,2.14002022090882,1
0.03125,256,0.9185586535436918,0.6652935103855544,2
0.15625,32,0.33071891388307384,2.267786838055363,0
0.15625,32,0.3644344934278313,2.965916707758682,0
0.19104010419671483,24,0.3045873232752801,3.194572595229354,1
0.10370276646531436,56,0.4911323014219285,2.2025241795315385,1
0.09375,64,0.5,1.875,1
0.11635338543169074,48,0.4550068680800324,2.425839393508923,0
0.09375,64,0.4759858191164943,1.684344587028165,1
0.0546875,128,0.7234898064243891,1.701949733981187,0
0.10370276646531436,56,0.46666201634587745,2.2575897613952787,1
0.10370276646531436,56,0.47495887979908324,2.312230242287188,1
0.09375,64,0.5077524002897476,2.103745482192232,1
0.10370276646531436,56,0.4496092053105675,1.8635346183844843,1
0.11635338543169074,48,0.4550068680800324,2.6746434338688125,0
0.09375,64,0.46770717334674267,1.6035674514745464,1
0.11635338543169074,48,0.4192627457812106,2.0671206191998053,0
0.09375,64,0.5077524002897476,2.103745482192232,1
0.09375,64,0.5229125165837972,2.1719011301047835,1
0.10370276646531436,56,0.4831132760543846,2.3595001715752173,1
0.10370276646531436,56,0.4496092053105675,1.8635346183844843,1
0.11635338543169074,48,0.4375,2.2740524781341107,0
0.06859335938251204,96,0.5659615711335886,1.2120533349678277,0
0.09375,64,0.4841229182759271,1.7557524502806954,1
0.06077995466122861,112,0.6875,1.7039819684447783,1
0.06859335938251204,96,0.5994789404140899,1.5774568715622181,0
0.09375,64,0.5,2.0625,1
0.09375,64,0.5,1.875,1
0.06442730498212589,104,0.6115745559619039,1.2319461063342931,1
